pattern_weight,base_score_weight,precision_top5,precision_top10,precision_top30,objective
0.35000000000000003,0.6499999999999999,0.5414634146341464,0.5390243902439025,0.46422764227642277,0.5251626016260164
0.4,0.6,0.5463414634146342,0.526829268292683,0.45934959349593496,0.5221138211382115
0.45,0.55,0.5317073170731708,0.5317073170731708,0.45447154471544715,0.5162601626016261
0.30000000000000004,0.7,0.5170731707317073,0.526829268292683,0.46747967479674796,0.510569105691057
0.5,0.5,0.526829268292683,0.5219512195121951,0.44634146341463415,0.5090243902439024
0.25,0.75,0.5219512195121951,0.5024390243902439,0.46422764227642277,0.5035772357723578
0.15000000000000002,0.85,0.5024390243902439,0.5073170731707317,0.47073170731707314,0.4978048780487805
0.2,0.8,0.4926829268292683,0.5097560975609756,0.4658536585365854,0.4932926829268293
0.1,0.9,0.4926829268292683,0.4975609756097561,0.47479674796747967,0.49081300813008133
0.05,0.95,0.48292682926829267,0.4902439024390244,0.47317073170731705,0.48353658536585364
0.0,1.0,0.4926829268292683,0.47560975609756095,0.47479674796747967,0.48313008130081303
