pattern_weight,base_score_weight,precision_top5,precision_top10,precision_top30,objective
0.35000000000000003,0.6499999999999999,0.5560975609756098,0.4878048780487805,0.45772357723577234,0.5125203252032521
0.30000000000000004,0.7,0.551219512195122,0.4926829268292683,0.45934959349593496,0.5123577235772359
0.2,0.8,0.5365853658536586,0.5024390243902439,0.46504065040650405,0.5103252032520326
0.25,0.75,0.5414634146341464,0.4951219512195122,0.46260162601626015,0.5094715447154472
0.15000000000000002,0.85,0.5365853658536586,0.4926829268292683,0.4666666666666667,0.5072357723577237
0.1,0.9,0.526829268292683,0.4975609756097561,0.46991869918699186,0.5052032520325204
0.0,1.0,0.526829268292683,0.4902439024390244,0.4715447154471545,0.5029674796747968
0.05,0.95,0.5219512195121951,0.4878048780487805,0.4715447154471545,0.4999186991869919
0.4,0.6,0.5219512195121951,0.4878048780487805,0.45121951219512196,0.4958536585365854
0.45,0.55,0.5121951219512195,0.4902439024390244,0.44715447154471544,0.4915040650406504
0.5,0.5,0.5024390243902439,0.4975609756097561,0.4373983739837398,0.48772357723577237
